descripcion;precio;ppund
AGUARDIENTE REAL 750M S/AZUCAR;$ 58.750;PUM: 78.33 por mililitro
RON MEDELLIN ANEJO MEDIA;$ 22.690;PUM: 60.51 por mililitro
RON VIEJO DE CALDAS 750CC 5 ANOS;$ 57.750;PUM: 77 por mililitro
CERVEZA CLUB COLOMBIA 6U 330ML LATA ROJA;$ 17.590;PUM: 8.88 por mililitro
VINO LA HUERTA 750C SAUVIGNON BLANC;$ 37.490;PUM: 49.99 por mililitro
VINO LAS MORAS RESERVA 750ML MALBEC;$ 73.750;PUM: 98.33 por mililitro
RON VIEJO DE CALDAS 375CC MEDIA;$ 25.550;PUM: 68.13 por mililitro
VINO CUATRO CUMBRES 1000C TETRA BLANCO;$ 22.590;PUM: 22.59 por mililitro
WHISKY BUCHANANS 750C 12 ANOS;$ 149.990;PUM: 199.99 por mililitro
VINO GATO NEGRO 750C MALBEC;$ 48.650;PUM: 64.87 por mililitro
VINO TINTO RESERVA LA CELIA MALBEC 750C;$ 68.850;PUM: 91.8 por mililitro
CERVEZA AGUILA 00 6U 330M LATA;$ 11.350;PUM: 5.73 por mililitro
AGUARDIENTE ANTIOQUENO 24 S/A 375ML;$ 18.550;PUM: 49.47 por mililitro
WHISKY BLACK & WHITE 700ML;$ 53.250;PUM: 76.07 por mililitro
AGUARDIENTE ANTIOQUENO BOTELLA S/A;$ 40.980;PUM: 54.64 por mililitro
RON VIEJO DE CALDAS 750CC BOTELLA;$ 48.800;PUM: 65.07 por mililitro
VINO TARAPACA VARIETAL CABERNET 750C;$ 53.450;PUM: 71.27 por gramo
AGUARDIENTE ANTIOQUENO MEDIA S/A;$ 21.990;PUM: 58.64 por mililitro
CERVEZA BBC NR 6U 330C LAGER;$ 19.650;PUM: 9.92 por mililitro
VINO STA CAROLINA RESERVA 750ML ROSE;$ 46.990;PUM: 62.65 por mililitro
VINO RAMON BILBAO VERDEJO 750ML BLANCO;$ 75.990;PUM: 101.32 por mililitro
RON MEDELLIN ANEJO 750ML 8 AÑOS;$ 64.750;PUM: 86.33 por mililitro
VINO SAN PEDRO GATO NEGRO 750C CARMENERE;$ 48.650;PUM: 64.87 por mililitro
AGUARDIENTE ANTIOQUENO MEDIA;$ 20.750;PUM: 55.33 por mililitro
VINO TINTO IBANEZ 750M RESERVA P1 LL2;$ 49.000;PUM: 32.67 por mililitro
AGUARDIENTE ANTIOQUENO TETRA;$ 38.990;PUM: 37.13 por mililitro
CREMA WHISKY BAILEYS 700C;$ 74.100;PUM: 105.86 por mililitro
VINO ESPUMOSO JP CHENET 750C STRAWBERRY;$ 77.990;PUM: 103.99 por mililitro
TEQUILA JOSE CUERVO 750C ESPECIAL;$ 86.250;PUM: 115 por mililitro
RON MEDELLIN 750M DORADO;$ 39.690;PUM: 52.92 por mililitro
VINO SAN PEDRO GATO NEGRO 750C BLANCO;$ 48.650;PUM: 64.87 por mililitro
VINO GATO NEGRO 750C CHARDONAY;$ 48.650;PUM: 64.87 por mililitro
CERVEZA BUDWEISER  6U 250ML;$ 13.750;PUM: 9.17 por mililitro
RON VIEJO DE CALDAS 750CC ESENCIAL;$ 38.850;PUM: 51.8 por mililitro
VINO INTIS CHENIN BCO CHARDONNAY 750ML;$ 25.990;PUM: 34.65 por mililitro
RON MEDELLIN EXTRA 750M 5 ANOS S/AZUCAR;$ 49.990;PUM: 66.65 por mililitro
RON MEDELLIN EXTRA 375M 5 ANOS S/AZUCAR;$ 26.690;PUM: 71.17 por mililitro
RON MEDELLIN ANEJO TETRA;$ 52.990;PUM: 50.47 por mililitro
CREMA WHISKY BAILEYS 1000C;$ 100.900;PUM: 100.9 por mililitro
CERVEZA AGUILA 6U 330M LATA;$ 14.750;PUM: 7.45 por mililitro
CERVEZA CORONITA BOTELLA 6U 210ML;$ 15.990;PUM: 12.69 por mililitro
CERVEZA CLUB COLOMBIA 6U 330ML LTA DORADA;$ 13.990;PUM: 7.07 por mililitro
VINO VIEJO VINEDO 750ML TINTO;$ 13.990;PUM: 18.65 por mililitro
VINO LAMBRUSCO PICCINI 750ML ROSADO;$ 48.980;PUM: 65.31 por mililitro
CERVEZA PILSEN LATA 6U 330CM;$ 15.750;PUM: 7.95 por mililitro
VINO ESPUMOSO JP CHENET 750C ICE ROSE;$ 74.490;PUM: 99.32 por mililitro
VINO LAS MORAS 750C TINTO MALBEC;$ 53.990;PUM: 71.99 por mililitro
COLA Y POLA 6U 330M LATA;$ 13.990;PUM: 7.07 por mililitro
VINO SEGU OLE 1000C TINTO;$ 24.990;PUM: 24.99 por mililitro
VINO LAMBRUSCO PICCINI 750ML TINTO;$ 48.980;PUM: 65.31 por mililitro
VINO VIEJO VINEDO 750ML BLANCO;$ 13.990;PUM: 18.65 por mililitro
CERVEZA ANDINA 6U 355ML LATA;$ 14.500;PUM: 7.32 por mililitro
CERVEZA BUDWEISER 6U 269M LATA;$ 13.990;PUM: 8.67 por mililitro
CERVEZA AGUILA LIGHT 6U 330ML LATA;$ 16.980;PUM: 8.58 por mililitro
VINO ESPUMOSO JP CHENET 750C ICE;$ 74.490;PUM: 99.32 por mililitro
VINO CUATRO CUMBRES 1000C TETRA TINTO;$ 22.590;PUM: 22.59 por mililitro
VINO LAS MORAS 750C BLANCO CHARDONAY;$ 53.890;PUM: 71.85 por mililitro
CERVEZA CLUB COLOMBIA 6U 330ML LATA NEGRA;$ 17.590;PUM: 8.88 por mililitro
COLA Y POLA 1.5L;$ 4.450;PUM: 2.97 por mililitro
CERVEZA COSTENA BACANA 6U 330ML;$ 13.890;PUM: 7.02 por mililitro
VINO DON SIMON 750C TINTO;$ 23.790;PUM: 31.72 por mililitro
VINO SEGU OLE 1000C BLANCO;$ 24.990;PUM: 24.99 por mililitro
VINO INTIS TINTO MALBEC MERLOT 750 ML;$ 25.990;PUM: 34.65 por mililitro
CERVEZA BECKS 6U 330ML LATA;$ 14.990;PUM: 7.57 por mililitro
VODKA SMIRNOFF ICE 250ML LATA GREEN APPLE;$ 7.200;PUM: 9.6 por mililitro
VINO LAS MORAS 750C CABERNET SAUVIGNON;$ 53.890;PUM: 71.85 por mililitro
AGUARDIENTE ANTIOQUENO TETRA S/A;$ 39.990;PUM: 319.92 por mililitro
CERVEZA BUDWEISER LATA 6U 355M;$ 17.990;PUM: 8.45 por mililitro
VODKA SMIRNOFF ICE 250ML LATA;$ 7.200;PUM: 28.8 por mililitro
AGUARDIENTE ANTIOQUENO 24 S/A 1050 ML;$ 37.750;PUM: 35.95 por mililitro
VINO SAN PEDRO GATO NEGRO 750C ROSE;$ 48.650;PUM: 64.87 por mililitro
CERVEZA CLUB COLOMBIA 6U 330M NRB;$ 16.800;PUM: 8.48 por mililitro
VINO SEGU OLE 1000C ROSADO;$ 24.990;PUM: 24.99 por mililitro
VINO RAMON BILBAO CRIANZA 750ML TINTO;$ 75.990;PUM: 101.32 por mililitro
VINO GATO NEGRO 750C MERLOT;$ 48.650;PUM: 64.87 por mililitro
